,city,clouds,country,date,humidity,latitude,longtitude,Max Temp,Wind Speed
0,Petropavlovka,8,RU,1512365390,42,50.61,105.32,19.0,3.85
1,Cockburn Town,92,TC,1512365390,100,21.46,-71.14,75.88,17.0
2,Narva-Joesuu,92,EE,1512365391,99,59.46,28.04,32.41,8.28
3,Kapaa,40,US,1512363360,73,22.08,-159.32,73.4,18.34
4,Ushuaia,0,AR,1512360000,50,-54.8,-68.3,57.2,2.24
5,Tiksi,48,RU,1512365392,79,71.69,128.87,-18.08,2.8
6,Ushuaia,0,AR,1512360000,50,-54.8,-68.3,57.2,2.24
7,Bluff,92,NZ,1512365393,80,-46.6,168.33,66.66,17.16
8,Buala,76,SB,1512365394,100,-8.14,159.59,80.65,9.33
9,Bluff,92,NZ,1512365393,80,-46.6,168.33,66.66,17.16
10,Zhengjiatun,0,CN,1512365395,26,43.51,123.51,15.99,9.55
11,Narsaq,0,GL,1512363000,86,60.92,-46.05,26.6,2.84
12,Ushuaia,0,AR,1512360000,50,-54.8,-68.3,57.2,2.24
13,Winslow,1,US,1512363360,46,35.02,-110.7,53.6,19.46
14,Umm Kaddadah,0,SD,1512365396,53,13.6,26.69,62.29,11.12
15,Riyadh,0,SA,1512363600,46,24.69,46.72,50.0,5.82
16,Georgetown,92,GY,1512363600,100,6.8,-58.16,75.2,4.7
17,Honiara,75,SB,1512363600,94,-9.43,159.95,80.6,9.17
18,Guerrero Negro,76,MX,1512365398,100,27.98,-114.06,61.84,6.64
19,Adre,0,TD,1512365398,26,13.47,22.2,64.41,13.69
20,Chapada dos Guimaraes,0,BR,1512363600,94,-15.46,-55.75,77.0,5.82
21,Hun,64,LY,1512365400,58,29.13,15.95,44.65,4.59
22,Thompson,90,CA,1512363600,92,55.74,-97.86,21.2,3.36
23,Naze,75,JP,1512360000,60,28.37,129.48,69.8,16.11
24,Arroyos y Esteros,0,PY,1512363600,94,-25.07,-57.1,73.4,6.64
25,Zhigansk,24,RU,1512365409,0,66.77,123.37,-35.72,4.25
26,Tuktoyaktuk,40,CA,1512363600,77,69.45,-133.04,1.4,14.99
27,Albany,1,US,1512364500,92,42.65,-73.76,35.6,1.79
28,Tiksi,48,RU,1512365392,79,71.69,128.87,-18.08,2.8
29,Georgetown,92,GY,1512363600,100,6.8,-58.16,75.2,4.7
30,Rikitea,76,PF,1512365411,100,-23.12,-134.97,77.23,11.9
31,Albany,1,US,1512364500,92,42.65,-73.76,35.6,1.79
32,Tateyama,75,JP,1512361800,54,34.98,139.87,57.2,6.93
33,Vila Franca do Campo,40,PT,1512363600,88,37.72,-25.43,64.4,8.05
34,Atuona,68,PF,1512365413,97,-9.8,-139.03,81.51,18.12
35,Kodiak,90,US,1512363180,87,57.79,-152.41,42.8,23.04
36,Hilo,90,US,1512363360,68,19.73,-155.09,71.6,8.05
37,Rikitea,76,PF,1512365411,100,-23.12,-134.97,77.23,11.9
38,Yokadouma,12,CM,1512365415,92,3.52,15.05,70.39,2.73
39,Bluff,92,NZ,1512365393,80,-46.6,168.33,66.66,17.16
40,Topchikha,68,RU,1512365416,87,52.82,83.12,12.25,10.56
41,Butaritari,20,KI,1512365416,97,3.07,172.79,84.88,16.37
42,Lavrentiya,56,RU,1512365417,100,65.58,-171.0,30.66,14.36
43,Wainwright,36,CA,1512365418,71,52.84,-110.86,7.57,9.62
44,East London,0,ZA,1512363600,88,-33.02,27.91,64.4,4.7
45,Butaritari,20,KI,1512365416,97,3.07,172.79,84.88,16.37
46,Butaritari,20,KI,1512365416,97,3.07,172.79,84.88,16.37
47,Saint George,1,US,1512363360,14,37.1,-113.58,50.0,11.41
48,Lamtah,0,TN,1512363600,87,35.67,10.88,46.4,8.05
49,North Platte,90,US,1512363180,100,41.12,-100.77,35.6,9.1
50,Punta Arenas,0,CL,1512363600,66,-53.15,-70.92,55.4,21.92
51,Bluff,92,NZ,1512365393,80,-46.6,168.33,66.66,17.16
52,Albany,1,US,1512364500,92,42.65,-73.76,35.6,1.79
53,Grindavik,90,IS,1512363600,93,63.84,-22.43,39.2,10.29
54,Kolda,32,SN,1512365422,72,12.88,-14.95,65.8,2.8
55,Lalmohan,0,BD,1512365423,66,22.34,90.74,78.85,5.93
56,Fairbanks,20,US,1512363480,92,64.84,-147.72,19.4,16.71
57,Immokalee,1,US,1512363180,88,26.42,-81.42,66.2,5.82
58,Karasuk,68,RU,1512365425,87,53.74,78.04,15.58,13.65
59,Bataipora,76,BR,1512365426,88,-22.3,-53.27,74.53,2.57
60,Bluff,92,NZ,1512365393,80,-46.6,168.33,66.66,17.16
61,Naze,75,JP,1512360000,60,28.37,129.48,69.8,16.11
62,Beringovskiy,80,RU,1512365427,91,63.05,179.32,30.61,10.45
63,Thunder Bay,90,CA,1512363600,100,48.4,-89.32,35.6,4.7
64,New Norfolk,75,AU,1512363600,51,-42.78,147.06,59.0,16.11
65,Punta Arenas,0,CL,1512363600,66,-53.15,-70.92,55.4,21.92
66,Tasiilaq,0,GL,1512365269,100,65.61,-37.64,15.67,8.61
67,Emirdag,20,TR,1512365430,90,39.02,31.15,34.39,3.06
68,Douentza,12,ML,1512365431,60,15.0,-2.95,53.56,3.36
69,Saint-Philippe,0,RE,1512363600,66,-21.36,55.77,84.2,8.05
70,Mar del Plata,75,AR,1512360000,82,-38.0,-57.56,55.4,12.75
71,Ulaanbaatar,0,MN,1512365400,77,47.91,106.88,-2.21,5.64
72,Hambantota,12,LK,1512365298,100,6.12,81.12,82.14,2.51
73,New Norfolk,75,AU,1512363600,51,-42.78,147.06,59.0,16.11
74,Atuona,68,PF,1512365413,97,-9.8,-139.03,81.51,18.12
75,Praia,20,CV,1512363600,73,14.92,-23.51,75.2,17.22
76,Ushuaia,0,AR,1512360000,50,-54.8,-68.3,57.2,2.24
77,Qaanaaq,64,GL,1512365236,91,77.48,-69.36,13.56,4.29
78,Lebu,20,CL,1512365256,98,-37.62,-73.65,53.97,17.83
79,Rikitea,76,PF,1512365411,100,-23.12,-134.97,77.23,11.9
80,Ushuaia,0,AR,1512360000,50,-54.8,-68.3,57.2,2.24
81,Ponta do Sol,75,PT,1512363600,59,32.67,-17.1,64.4,9.17
82,Bud,75,US,1512364500,65,39.45,-86.18,46.4,9.17
83,Punta Arenas,0,CL,1512363600,66,-53.15,-70.92,55.4,21.92
84,Dabat,0,ET,1512365436,31,12.98,37.77,66.84,2.73
85,Port Elizabeth,0,ZA,1512363600,72,-33.92,25.57,66.2,2.24
86,Puerto Ayora,92,EC,1512365437,100,-0.74,-90.35,69.76,10.07
87,Grand Gaube,40,MU,1512363600,62,-20.01,57.66,84.2,16.11
88,Punta Arenas,0,CL,1512363600,66,-53.15,-70.92,55.4,21.92
89,Leningradskiy,80,RU,1512365438,95,69.38,178.42,25.21,10.67
90,Cedar City,1,US,1512363180,39,37.68,-113.06,28.4,3.36
91,Norman Wells,20,CA,1512363600,76,65.28,-126.83,-5.81,8.05
92,Berlevag,75,NO,1512363000,74,70.86,29.09,30.2,19.46
93,Broken Hill,0,AU,1512365439,45,-31.95,141.43,68.14,15.99
94,Yellowknife,20,CA,1512363600,75,62.46,-114.35,-18.41,2.24
95,Axim,20,GH,1512365330,100,4.87,-2.24,80.92,4.25
96,Qaanaaq,64,GL,1512365236,91,77.48,-69.36,13.56,4.29
97,Saint-Philippe,0,RE,1512363600,66,-21.36,55.77,84.2,8.05
98,Dicabisagan,64,PH,1512365442,100,17.08,122.42,78.58,9.06
99,Busselton,80,AU,1512365244,92,-33.65,115.33,70.89,8.43
100,Tasiilaq,0,GL,1512365269,100,65.61,-37.64,15.67,8.61
101,Hobart,75,AU,1512363600,51,-42.88,147.33,59.0,16.11
102,Cururupu,0,BR,1512365443,83,-1.83,-44.87,78.99,9.44
103,Cape Town,20,ZA,1512363600,63,-33.93,18.42,64.4,17.22
104,Juneau,90,US,1512364020,100,58.3,-134.42,39.2,20.8
105,Chuy,92,UY,1512365444,89,-33.7,-53.46,63.46,15.21
106,Zabol,0,IR,1512363600,38,31.03,61.5,39.2,16.11
107,Bethel,1,US,1512363360,92,41.37,-73.41,41.0,2.24
108,Talnakh,44,RU,1512365446,70,69.49,88.4,-2.24,2.62
109,North Augusta,1,US,1512363300,87,33.5,-81.97,53.6,3.24
110,Ribeira Grande,92,PT,1512365447,93,38.52,-28.7,67.56,18.16
